Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Precision_Class_0,Recall_Class_0,F1_Class_0,Precision_Malignant,Recall_Malignant,F1_Malignant,Precision_Class_1,Recall_Class_1,F1_Class_1,Precision_Benign,Recall_Benign,F1_Benign
Logistic Regression,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9953703703703703,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112
Decision Tree,0.9035087719298246,0.9090103792348448,0.9035087719298246,0.9044837459423354,0.9216269841269841,0.8297872340425532,0.9285714285714286,0.8764044943820225,0.8297872340425532,0.9285714285714286,0.8764044943820225,0.9552238805970149,0.8888888888888888,0.920863309352518,0.9552238805970149,0.8888888888888888,0.920863309352518
Random Forest,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9947089947089947,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334
